"mz","rt","SPC.15V.1","SPC.30V.1","SPC.45V.1","mzinmgf","rtinmgf","mz_ms2","int_ms2","CE"
132.0816054,148.101,51292.185,25908.19263,31056.53717,132.08042,146,117.0587,13420,30
144.0799327,148.101,27214.99982,36189.61572,108018.8679,144.08046,148,127.0549,1480,15
159.0886468,148.101,18659.1269,83378.83279,45201.87483,159.09138,148,132.0815,33074,15
189.0732862,148.101,61763.5235,65759.79253,60133.88347,189.07336,150,147.0636,104740,15
354.2733136,159.464,113638.0004,90949.93844,24001.66205,354.27504,159,289.262,4337,30
290.1601558,169.274,53680.392,49095.50432,50510.35596,290.16026,168,85.0305,6859,30
239.14776,169.274,52409.4375,46343.77712,44546.76172,239.14849,169,133.0866,7181,15
261.143115,182.323,51130.96847,45324.23068,42601.18358,261.145,183,132.1027,6304,15
276.1359261,170.904,25701.44111,23738.706,26225.92306,276.13609,171,100.1135,2788,15
158.1169316,179.883,16507.41441,18345.44879,21368.167,158.118,180,141.0006,21925,15
247.1357196,184.349,162283.9502,135130.9442,132767.5665,247.14425,184,188.0708,181801,15
172.1350446,183.973,9042.403438,9181.660125,29435.67212,172.13264,184,154.1229,14964,15
244.1541827,190.58,25288.83567,22861.49667,22373.71271,244.15396,191,85.0303,3872,30
134.0590365,196.458,68475.24391,45014.4635,32603.60731,134.05947,194,77.0413,2866.6819,30
195.0876265,198.712,12905.05418,18315.79983,15787.84438,195.08728,197,138.0664,240399,30
138.0664097,198.62,36957.23712,37333.41668,28479.6865,138.06542,198,110.0723,1089,15
306.1332898,200.322,20596.77447,17358.98167,17971.69944,306.13304,201,168.102,1591,30
197.1253955,207.618,36199.6395,78571.10541,76209.97888,197.12833,207,70.0684,10160,45
283.1739755,205.417,44104.11933,50746.6575,8157.550917,283.17483,206,133.086,4388,15
300.200834,205.417,25831.95956,26532.5845,23429.45538,300.20164,206,283.1752,38264,15
392.0727161,205.958,35249.904,54573.8752,61409.66284,392.07247,205,312.119,15149,30
105.033663,209.298,12560.39688,25086.35294,31963.03133,105.03384,209,77.0412,54101,15
180.0650708,209.298,34889.29776,40887.11889,29417.80933,180.06515,209,105.0349,21031,15
246.169042,221.867,53884.38241,119273.2338,45587.63065,246.17022,222,85.0304,29859,30
226.0156497,214.501,15478.38774,16238.177,15219.54241,226.01529,215,152.0151,4277,15
265.1146921,220.261,47469.675,57165.06867,66731.82217,265.11832,220,130.0507,164883,15
130.1581572,219.451,46728.04133,41298.6475,16123.072,130.15867,219,84.0477,4735,15
287.1018983,220.261,62320.36333,32075.41,18800.84822,287.09993,220,265.1181,3127,15
153.1258577,220.261,13770.34611,11642.852,13728.76572,153.12656,220,135.1179,1117,15
248.0925547,220.261,36386.36111,39508.43,18919.10043,248.09126,220,130.0503,5556,15
130.0513323,220.261,30944.29889,15293.213,18554.85428,130.04964,221,84.0466,16581,15
147.0750648,220.261,11514.84889,11229.43192,11159.40422,147.07662,221,130.0502,4304,15
