mz,tr,SPC.15V.1,SPC.30V.1,SPC.45V.1
97.96823999,1744.825,62374.72222,94193.75882,66452.9024
100.0766255,102.973,24913.49,25408.66846,21622.10958
101.0790362,103.644,20751.21793,9034.678125,13012.15509
103.0550781,98.075,12863.61742,149549.605,15935.94857
104.1035683,47.277,48193.01673,49372.19719,33176.23696
105.033663,209.298,12560.39688,25086.35294,31963.03133
105.1102592,46.427,21300.68455,17032.50475,18844.66857
110.0085427,38.4525,18084.252,13699.72667,12800.17313
152.0707679,119.342,32716.23561,24510.15044,38779.92074
112.9548061,1767.66,57368.97647,45860.685,45849.16286
113.1331725,1249.74,23643.6,33940.08444,28344.15643
113.0702687,1735.49,52473.84923,42539.99,63550.896
113.9633324,1746.82,64485.71163,58968.69667,34177.46526
114.1270736,250.935,13507.86,11448.84688,11543.08267
132.0816054,148.101,51292.185,25908.19263,31056.53717
116.0699012,48.117,39017.29375,25340.55333,45643.71046
116.0528966,1196.15,34953.43111,19253.94059,17988.83077
117.056455,148.101,31791.51159,30121.42661,32570.53417
118.0890611,472.812,113733.5155,124477.5078,156069.1018
118.084827,60.757,87877.77388,95362.02365,168496.7877
118.0716471,148.101,17375.043,20389.43742,15255.92878
118.0885643,231.4065,369804.8694,107855.5565,113782.3712
118.0866423,868.2715,48618.44442,70018.96448,52275.951
118.089061,303.162,351277.5727,113945.2196,252157.681
118.0858948,1300.915,69652.30875,89957.17077,86394.365
118.0876753,1742.485,130154.1667,239839.4164,123846.3178
119.0704016,61.587,50972.02571,32506.60082,30403.61535
410.1890524,148.095,58308.74733,64131.88765,57688.67533
119.7109636,98.075,13952.2366,8443.689421,10759.6784
120.0788163,98.114,24061.467,25664.25115,11858.524
121.0288498,913.909,47984.13995,52642.44731,23657.12147
121.0653447,1108.1,19537.73563,67221.44,55127.88556
121.0278087,348.309,22634.07111,32807.71668,26024.11911
121.0278214,268.733,15315.54139,23514.788,20060.86856
121.0279139,1249.74,23991.36,19010.66824,19382.675
122.0877012,98.075,19307.78006,9059.566167,15447.56333
122.9642222,1746.675,118369.8833,103649.952,108367.3728
123.0548753,1578.615,79390.07053,101027.91,89092.3
123.0454006,61.587,29634.56729,13514.99861,29766.21071
123.0546945,1721.79,170424.3524,28015.82,63178.00316
124.0528416,96.474,10960.55025,21456.09669,12022.97688
125.1096988,95.6545,15062.11062,26446.79607,29860.04786
181.072698,138.271,56708.112,145190.8104,253762.89
128.9502503,1777.04,37581.03818,52976.86,41281.2
129.0073014,40.9675,10225.84629,27198.5085,46025.87727
129.06388,1739.68,24984.972,21235.80375,14383.20889
130.0830816,49.957,14690.17279,22146.232,82027.17325
130.0641355,362.408,38453.44678,18555.80844,21285.74778
130.0640153,148.101,64033.95123,46842.89384,35396.277
130.0513323,220.261,30944.29889,15293.213,18554.85428
130.064083,439.873,29148.6,28080.2515,26198.36333
130.1639211,1710.49,166783.2,715883.973,139503.4663
130.1641759,1593.375,551841.9781,491610.0091,298243.4741
130.1595109,1304.05,84803.80947,152037.1521,167712.0105
130.1574167,1413.53,111827.9832,130827.92,192220.53
130.1581572,219.451,46728.04133,41298.6475,16123.072
131.0501902,98.075,56710.9645,39698.85459,63069.54675
176.0642602,71.48,190008.9716,165830.0679,95226.15309
132.9880487,50.636,34436.26059,28470.35644,29021.11935
133.0838251,148.098,13759.36485,9303.937,15688.73267
218.1449114,73.746,83194.61936,78921.84,91608.96143
134.0590365,196.458,68475.24391,45014.4635,32603.60731
135.0015144,52.427,130753.3548,85858.07772,123594.0578
135.116476,1297.31,19925.26412,14752.056,15834.98421
135.1209711,72.926,8561.409231,8574.116273,9696.200118
150.0588542,61.587,57620.44147,56860.84353,30786.58967
137.0488875,60.826,70092.25124,34107.68327,20690.10459
137.0956364,1108.47,19383.04611,19225.44,18455.00611
138.0664097,198.62,36957.23712,37333.41668,28479.6865
139.1110687,1130.96,13892.91556,17608.44632,11882.87833
